,name,city,address,postcode,lat,lng,bubble_rating,star_rating,review_count,air_conditioning,free_internet,free_high_speed_internet_(_wifi_),public_wifi,wheelchair_access,restaurant,family_rooms,accessible_rooms,pets_allowed_(_dog_/_pet_friendly_),paid_wifi,refrigerator_in_room,kitchenette,microwave,paid_internet,chaine,rating_std,rating_std2
1431,hotel basfroi,Paris,62 rue Oberkampf,75011,,,3.5,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10233489364762731,0.5105019965171115
1433,hotel paris gambetta,Paris,12 avenue du Pere Lachaise,75020,48.86413,2.397948,3.5,3,45.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.38375585117860245,0.6670392237210079
1435,grand hotel du bel air,Paris,102 boulevard de Picpus,75012,48.847332,2.399311,3.5,2,32.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2728930497270062,0.6053730433073516
1438,hotel ermitage,Paris,42 B rue de l Ermitage,75020,48.871834,2.392657,3.0,0,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0160393012157283,1.0481360910004274
1439,hotel bersoly's saint germain,Paris,28 rue de Lille,75007,48.858223,2.3308470000000003,3.5,3,138.0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1.1768512769477142,1.108189591295625
1440,hotel chabrol opera,Paris,46 rue de Chabrol,75010,48.87712,2.35108,3.5,3,120.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1.0233489364762731,1.0228056491844089
1441,tamaris hotel,Paris,14 rue des Maraichers,75020,48.848587,2.407896,3.0,3,46.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3362432219850612,0.6069857234258103
1442,hotel de paris,Paris,51 avenue du Maine,75014,48.840195,2.32207,3.5,0,18.0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.15350234047144098,0.5389633105541836
1443,phenix hotel,Paris,5 rue du General Lanrezac,75017,48.87616,2.29382,3.5,2,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4860907448262297,0.723961851795152
1446,hotel floridor etoile,Paris,35 avenue des Ternes,75017,48.8785,2.294032,3.5,2,70.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.596953546277826,0.7856280322088082
1449,hotel pax,Paris,5 rue des Poissonniers,75018,48.88609,2.349999,3.5,2,31.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.26436514192303723,0.6006294909678397
1450,hotel brescia opera,Paris,16 rue d Edimbourg,75008,48.879467,2.3203240000000003,3.5,0,126.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0745163833000868,1.0512669632214808
1451,hotel le lionceau,Paris,22 rue Daguerre,75014,48.83414000000001,2.329446,3.0,0,11.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.08040598786599289,0.4409613915428898
1455,hotel de l'avenir,Paris,65 rue Madame,75006,48.84695,2.331635,3.0,3,99.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.723653890793936,0.8583939974199468
1460,hotel kuntz,Paris,2 rue des 2 Gares,75010,48.878464,2.358298,3.0,2,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0818260185606317,1.0908280620560356
1461,modern' est,Paris,91 boulevard de Strasbourg,75010,48.87597,2.35775,3.0,2,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6871057144912119,0.8346762357223869
1463,media,Paris,22 rue de la Reine Blanche,75013,48.83654,2.3537,3.0,3,133.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9721814896524594,1.0196747769633554
1464,sibour hotel,Paris,4 Rue Sibour,75010,48.87513,2.358393,3.5,2,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5457860994540124,0.7571667181717361
1466,villa romantic,Paris,35 rue du Banquier,75013,48.834576,2.354321,3.0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40202993932996445,0.6496776944814184
1477,libertel paris la defense,Paris,"35, cours Michlet Paris La Defense",92060,,,3.5,0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025583723411906827,0.46781002546150335
1478,campanile,Paris,232 rue du Faubourg Saint Martin,75010,48.88116,2.36542,3.5,0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5202023760421055,0.7429360611532001
1479,hotel montebello,Paris,18 rue Pierre Leroux,75007,48.84916,2.31909,3.5,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09380698584365837,0.5057584441775994
1480,ibis styles paris crimee la villette,Paris,219 rue de Crimee,75019,48.89248,2.374563,3.0,3,95.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.6944153497517568,0.8394197880618988
1481,hotel bed and breakfast saussier leroy,Paris,14 rue Saussier Leroy,75017,48.879707,2.296339,2.5,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012182725434241346,0.3334723678525721
1483,pv city aparthotel tour eiffel,Paris,14 Tour Eiffel,75007,48.84995,2.285328,3.5,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07675117023572049,0.49627133949857544
1484,hotel delarc,Paris,7 rue du Colisee,75008,48.870506,2.307544,3.0,2,80.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5847708208435847,0.7682665029692186
1485,hotel de chevreuse,Paris,3 rue de Chevreuse,75006,,,3.5,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025583723411906827,0.46781002546150335
1486,home plaza st. antoine,Paris,289 B rue du Faubourg Saint Antoine,75011,,,2.5,0,2.0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0.012182725434241346,0.3334723678525721
1487,hotel de prony,Paris,103 B avenue de Villiers,75017,48.884666,2.298371,3.0,3,81.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5920804561041294,0.7730100553087307
1489,hotel la maison blanche,Paris,107 B Avenue d Italie,75013,48.822556,2.3585580000000004,3.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029238541042179232,0.4077565251663057
1490,hotel europe,Paris,67 rue des Moines,75017,48.89104,2.321297,3.0,1,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0964452890817211,1.1003151667350595
1491,hotel modern,Paris,121 rue du chemin Vert,75011,48.86187,2.383238,3.0,2,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9794911249130043,1.0244183293028672
1493,prince albert lyon bercy,Paris,108 rue de Charenton,75012,48.847218,2.377749,3.0,3,145.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0598971127789971,1.0765974050374996
